time,bid_price,ask_price
35897003908524,5859600,5860400
35899043057611,5859600,5860500
35899692027549,5859600,5862000
35899692131833,5859600,5861900
35899711737213,5859600,5860500
35899711963656,5859600,5861900
35899712063029,5859600,5861800
35900065849686,5859600,5862000
35900454965120,5859600,5861900
35900720444175,5859600,5862000
35901017336141,5859600,5861700
35901681391264,5859600,5861900
35901681392049,5859600,5862000
35901811698032,5859600,5862500
35901832173386,5859600,5862600
35901832716663,5859800,5862600
35901835329041,5859900,5862600
35901851421309,5860000,5862600
35901861326046,5859800,5862600
35901861961097,5859900,5862600
35901875439431,5860100,5862600
35901966816364,5860100,5862300
35902257376380,5860100,5862400
35902257381731,5860100,5862600
35902373533475,5860100,5862300
35902750023192,5860100,5862400
35902750030278,5860100,5862600
35902756960604,5860000,5862600
35903095447727,5860000,5862300
35904002821649,5860000,5862400
35904002829806,5860000,5862600
35904324933722,5860000,5862300
35904328120110,5860000,5862100
35904762805510,5860000,5861800
35904765503902,5860000,5861700
35904769648734,5859800,5861700
35904797976881,5859700,5861700
35904798189871,5859600,5861700
35904798453394,5859100,5861700
35905177855137,5859100,5862600
35905405943599,5859200,5862600
35905648603533,5859700,5862600
35906028424973,5859700,5862300
35906386800578,5859700,5861800
35908162818844,5859600,5861800
35908163033676,5859200,5861800
35909521665723,5859100,5861800
35909867004787,5859400,5861800
35909871983220,5859100,5861800
35909882912197,5859800,5861800
35910428719328,5859100,5861800
35910516488955,5859100,5862600
35910519055488,5859100,5860900
35910866609574,5859100,5860700
35911008765478,5859000,5860700
35911008885468,5859000,5860900
35911044610571,5859000,5860800
35911497776473,5859000,5860900
35912748833592,5860000,5860900
35912750125575,5859000,5860900
35912750174381,5859000,5860800
35912750224061,5859000,5860600
35913044396009,5860000,5860600
35913044513594,5860000,5860800
35913044516768,5860000,5860900
35917504161924,5860000,5860600
35917505302901,5859900,5860600
35917505322722,5859900,5860500
35917505399615,5859000,5860500
35917505409190,5859000,5860100
35917505444327,5860000,5860500
35917505477711,5859000,5860500
35918325180134,5859000,5860400
35918946512104,5859000,5860300
35919207055263,5859000,5860400
35919892067852,5859100,5860400
35921073571037,5859100,5860100
35922068977412,5859000,5860100
35922069132164,5859000,5860000
35922418249299,5859000,5860100
35937365997122,5858200,5860100
35940859181250,5858500,5860100
35940859652983,5858200,5860100
35942251217035,5858200,5860400
35943149618153,5860000,5860400
35943150287371,5858200,5860400
35943150363262,5858200,5860200
35943150516244,5860000,5860200
35943503248093,5860000,5860400
35944571889810,5858200,5860400
35946058096032,5858200,5860300
35946550028929,5858200,5860400
35947530151900,5858200,5860300
35947855833445,5858200,5860400
35951023504967,5858200,5860200
35951045673715,5858200,5860000
35951112856675,5858200,5859900
35951114857608,5858200,5860200
35951115537938,5858200,5860000
35951889172315,5858200,5860200
35952051333460,5858200,5860400
35953309171869,5858200,5860600
35954199471726,5858200,5860800
35954199480043,5858200,5860700
35954406561648,5858200,5859100
35958054972118,5858200,5858600
35958055086649,5858200,5859100
35958060531471,5858200,5860200
35958120477051,5858200,5860000
35960630646205,5859000,5860000
35961778070548,5858200,5860000
35961778158651,5858200,5859900
35962128246288,5858200,5860000
35965856041741,5858200,5859200
35967719408333,5858200,5859800
35967720411038,5858200,5859900
35969552552187,5858200,5859600
35972132666227,5858400,5859600
35974528132141,5858400,5859900
35974530106964,5858400,5860000
35974702923594,5858400,5860600
35976119726012,5858400,5860200
35977156674513,5858600,5860200
35977163560283,5858600,5860600
35977187176805,5858600,5861400
35979217938547,5858400,5861400
35984180483778,5860000,5861400
35985096050754,5860000,5861300
35985120620149,5860000,5861200
35985523465165,5860000,5860900
35985568793774,5858400,5860900
35985568884288,5858400,5860600
35985914249153,5858400,5861100
35987543750111,5858400,5860900
35991326616162,5858400,5860000
35991841608414,5858400,5859900
35992525510629,5858400,5860000
35998151681077,5858400,5861400
35998257731360,5859000,5861400
35999632132298,5859000,5861100
35999633537647,5859000,5860800
35999944004488,5859000,5861400
35999984594121,5859000,5861300
36000095644822,5859000,5861000
36000161565766,5859000,5860200
36000203679881,5859000,5859900
36000419265118,5858900,5859900
36000419353808,5858900,5859600
36000421305882,5858400,5859600
36000422165940,5857700,5859600
36000431340016,5857700,5859500
36000431511976,5857700,5859300
36000431594701,5857000,5859300
36000443306837,5856900,5859300
36000454601482,5856700,5859300
36000458591758,5856700,5859200
36000461967132,5856100,5859200
36000466974724,5856100,5857000
36000470886960,5856100,5859200
36000472245361,5855500,5859200
36000485740936,5857300,5859200
36000486641177,5855500,5859200
36000491491729,5854300,5859200
36000526786912,5854500,5859200
36000534654288,5854500,5858900
36000535747606,5854500,5858800
36000535946100,5854500,5858600
36000536750441,5854500,5858500
36000569347150,5854300,5858500
36000586093096,5854300,5858300
36000586488367,5854300,5858200
36000587748148,5856200,5858200
36000587984386,5854300,5858200
36000588509745,5856200,5858200
36000590282362,5856000,5858200
36000591335379,5854900,5858200
36000678190278,5854900,5858000
36000678473663,5854900,5857900
36000683026072,5854800,5857900
36000690279439,5854800,5857000
36000690504753,5854800,5856900
36000690802616,5854800,5856800
36000692294125,5854300,5856800
36000694400655,5855300,5856800
36000695162479,5854300,5856800
36000696025805,5855300,5856800
36000696301569,5854300,5856800
36000700104354,5855300,5856800
36000700313119,5854700,5856800
36000700450568,5854300,5856800
36000702041072,5855300,5856800
36000702271477,5854700,5856800
36000702458567,5854300,5856800
36000741211546,5855300,5856800
36000741850233,5854300,5856800
36000742241836,5855300,5856800
36000742353233,5854700,5856800
36000742506927,5854300,5856800
36000815528349,5855300,5856800
36000818113979,5854300,5856800
36000819719768,5855300,5856800
36000820405090,5854300,5856800
36000884549671,5855300,5856800
36000884823082,5854300,5856800
36000885470539,5855300,5856800
36000886181836,5854300,5856800
36000887455886,5855300,5856800
36000889407940,5854300,5856800
36000890357637,5855300,5856800
36000891284429,5854300,5856800
36000892008942,5854300,5856200
36000892389734,5855000,5856200
36000892827368,5854300,5856200
36000947848906,5855200,5856200
36000963715362,5854300,5856200
36001093763938,5854300,5855400
36001093879906,5854300,5856200
36001212804569,5854200,5856200
36001216032554,5853800,5856200
36001216123501,5853800,5856100
36001307924549,5853700,5856100
36001367826762,5853600,5856100
36001367916230,5853600,5855100
36001370591331,5853300,5855100
36001370686564,5853300,5855000
36001374864681,5853200,5855000
36001374950179,5853200,5854900
36001393464434,5853200,5853800
36001393637005,5853200,5854900
36001460705926,5852200,5854900
36001463789386,5852200,5854600
36001882499079,5852900,5854600
36002032489464,5852200,5854600
36002032574136,5852200,5854300
36002056967267,5852100,5854300
36002057054109,5852100,5854100
36002089965909,5852000,5854100
36002090054093,5852000,5854000
36002171934950,5851500,5854000
36002229526984,5851500,5853700
36002570575953,5852500,5853700
36002825836450,5851500,5853700
36002825924958,5851500,5853600
36003180261787,5851500,5853700
36003344157025,5852300,5853700
36003374650084,5851500,5853700
36003374730560,5851500,5853600
36003566087685,5851500,5854100
36003568477009,5851500,5856200
36003702116385,5851500,5856000
36003799112363,5851500,5855800
36003807669091,5851500,5855000
36003935411154,5852200,5855000
36003946308172,5852200,5854700
36004306803823,5852200,5854400
36004345226069,5852600,5854400
36004350757724,5852200,5854400
36004350762174,5852800,5854400
36004436690668,5852800,5854200
36004503446103,5852200,5854200
36004505168291,5852800,5854200
36004552189444,5852800,5854000
36004552919428,5852800,5853700
36004553529622,5852200,5852800
36004658544651,5851500,5852800
36004667552054,5851200,5852800
36004673430966,5851000,5852800
36004914231091,5851000,5852500
36005189142306,5851800,5852500
36005230088479,5851800,5852800
36005230182382,5851900,5852800
36005301733557,5851900,5853500
36005302145944,5852000,5853500
36005428218813,5851900,5853500
36005429252305,5851800,5853500
36005449310494,5851800,5852400
36005449689719,5851000,5852400
36005449771943,5851000,5852300
36005718953700,5851000,5852100
36005899348831,5851000,5852300
36006002230498,5851600,5852300
36006090638094,5851000,5852300
36006091017066,5851000,5851600
36006256063693,5851000,5852300
36006256159110,5851100,5852300
36006256182977,5851100,5852700
36006391278747,5851100,5852800
36006391353661,5851400,5852800
36006391803635,5851400,5853000
36006821361000,5851400,5853400
36006821447542,5851500,5853400
36006839457295,5851500,5853500
36007082243829,5851800,5853500
36007128577969,5851900,5853500
36007144376328,5852200,5853500
36007242657960,5852200,5854000
36007242914886,5852300,5854000
36008712417555,5852200,5854000
36008721079633,5851200,5854000
36008721648042,5852200,5854000
36008737715954,5851000,5854000
36008737941485,5851000,5853900
36008745195106,5851000,5853600
36008746165761,5852200,5853600
36008746316339,5851000,5853600
36009103852804,5851000,5853500
36009103896663,5851000,5853300
36009137673162,5851000,5853200
36009137737389,5851000,5853000
36009267115573,5851100,5853000
36009355864517,5851100,5853600
36009361835530,5851100,5853500
36009376528364,5851100,5853400
36009376576780,5851100,5853200
36009574203431,5851100,5853100
36009574266093,5851100,5852900
36009600529415,5851100,5853100
36009600609668,5851300,5853100
36009600693824,5851300,5853200
36009600752808,5851300,5853900
36009600966709,5851300,5853800
36009601124382,5851400,5853800
36009635676524,5851600,5853800
36009648041295,5851600,5854000
36009648127283,5851700,5854000
36009648666188,5851700,5854100
36009673211364,5851800,5854100
36009682731107,5851900,5854100
36009682781891,5851900,5854200
36009682992369,5851900,5854300
36009724341760,5852200,5854300
36009916349218,5852500,5854300
36010091825572,5852600,5854300
36010124965426,5852900,5854300
36010128275555,5853000,5854300
36010134847499,5853300,5854300
36010796502099,5852500,5854300
36010797119329,5853400,5854300
36010847028471,5852200,5854300
36010847673181,5853500,5854300
36012105451702,5853500,5854900
36012107515576,5853500,5855000
36012110661723,5853500,5856300
36012110795656,5853600,5856300
36012110839085,5853800,5856300
36012111840742,5853800,5856200
36012121565742,5853800,5856300
36012121673371,5853900,5856300
36012126298408,5854000,5856300
36012248529405,5854100,5856300
36012314416640,5854400,5856300
36012362642961,5854500,5856300
36012365220120,5854700,5856300
36012921594453,5855000,5856300
36012928521494,5855200,5856300
36014135174275,5855100,5856300
36014135855534,5855300,5856300
36014217215486,5855300,5856200
36014220712866,5855300,5856300
36014294784999,5855400,5856300
36014874795744,5855500,5856300
36016006448092,5855100,5855500
36016006563258,5855100,5856300
36017808639901,5855200,5856300
36019200896283,5855200,5855400
36019201010494,5855200,5856300
36019382559239,5855100,5856300
36023364270772,5855100,5856700
36023368386502,5855200,5856700
36023632233418,5855100,5856700
36023632345628,5855000,5856700
36023632425788,5854400,5856700
36024022481351,5854600,5856700
36024495184746,5854700,5856700
36025883083085,5855000,5856700
36026281502188,5855300,5856700
36026674610263,5855400,5856700
36026674669018,5855600,5856700
36026674818411,5855600,5857900
36026674964047,5855700,5857900
36026675018559,5855900,5857900
36026676950341,5856000,5857900
36026780387469,5856300,5857900
36027232223391,5856300,5858100
36027234845730,5856400,5858100
36027315369319,5856400,5859400
36027315445155,5856500,5859400
36027315497288,5856700,5859400
36027734769384,5856700,5858200
36027734877242,5856700,5859400
36027735679389,5858200,5859400
36029382514168,5858200,5858400
36029384189973,5858200,5859400
36029884778834,5858200,5858400
